smiles,identifier,P_TR,PS,rank
CN1C(=O)[C@H](O)[C@@H](C2=CC=CC=C2)[C@H]1[C@@H](O)C1=CC=CC=C1,CNP0284948.3,0.0064478120766580105,0.005512879325542601,2498
CC(=O)N1CC[C@@](C)(O)[C@@H](NC(=O)CC(C)(C)C)[C@@H]1C1=CC=CS1,CNP0276550.1,0.00644755270332098,0.005512657561339438,2499
O=C1NC2=CC(Cl)=CC=C2C(=O)N2CCN(C(=O)COC3=CC=CC=C3)C[C@H]12,CNP0111478.1,0.006445091217756271,0.00551055299118161,2500
CCNC(=O)NC[C@H]1C[C@@H]2CC[N@@]1C[C@@H]2C1=CC(C2=CC=CO2)=NC(C)=N1,CNP0461886.1,0.006438050419092178,0.0055045331083238115,2501
CCN1C(=O)CC[C@H]1C1=NC(CNC(=O)CC(C)(C)C)=NO1,CNP0597805.1,0.0064269485883414745,0.005495041043031961,2502
CN1C=CC=C1C(=O)N[C@@H]1CCN2C(=O)C3=CC=CC=C3NC(=O)[C@@H]2C1,CNP0161842.1,0.0064118546433746815,0.005482135720085351,2503
CC(C)NC(=O)NC[C@H]1CN2C=C(C3=CC=CC=C3)N=C2CO1,CNP0015180.1,0.0064066373743116856,0.00547767495503649,2504
CC(C)(C)CN1CCOC[C@H]1C1=NC(C2=CC=NC=C2)=CN1,CNP0210180.1,0.006403869949281216,0.005475308806635438,2505
CC(C)(C)C1=CN(C[C@H]2C[C@@H]3CC[N@@]2C[C@@H]3C(=O)NC2=CC=CC=C2)N=N1,CNP0453974.2,0.006400745827704668,0.00547263768268749,2506
CC1=CC=C(NCCC(=O)C2=CC=C3OCOC3=C2)C=C1C,CNP0180787.0,0.006389904301613569,0.005463368177879602,2507
C[C@@]1(CO)CN(CC2=CC=CC=C2)C[C@@H]2CN(CC3=CC=CC=N3)CCN21,CNP0086792.1,0.006374790333211422,0.005450445734895764,2508
COC1=CC=C(CN2CCOC[C@H](OC3=CC=CC=C3)C2)C=N1,CNP0005341.1,0.0063695283606648445,0.005445946748368441,2509
O=C1C=CC=C2[C@H]3C[C@@H](CN(CC(O)CC4=CC=CC=C4)C3)CN21,CNP0370664.1,0.006342632230371237,0.00542295055696741,2510
O=C(O)[C@H]1CSC(C2=NC3=CC=C(O)C=C3S2)=N1,CNP0139706.1,0.0063338507898151875,0.005415442425291983,2511
CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)[C@@H](O)C1=CC=CC=C1)C2,CNP0273721.3,0.006321033928543329,0.005404484008904546,2512
C1=CC=C(CNC[C@H]2OCCC3=CC=CC=C32)C=C1,CNP0361280.2,0.0063121928833425045,0.005396924915257843,2513
COC1=CC=C([C@H]2N3C[C@@]4(C)C[N@]2C[C@@](C)(C3)C4=O)C=C1O,CNP0361009.2,0.006308617070317268,0.005393867595121264,2514
CN1CCC(N2CC[C@H](C3=NN=C(CC4=CC=CC=C4)O3)C2)CC1,CNP0294860.1,0.006307361181825399,0.005392793810460715,2515
O[C@@H]1C[C@@H](C2=NC(C3CC3)=NO2)N(CC2=CC=NC=C2)C1,CNP0470190.1,0.0063013723120093346,0.005387673326767981,2516
